Pref	Name
Cowc	Capsaspora_owczarzaki
Crei	Chlamydomonas_reinhardtii
Ddis	Dictyostelium_discoideum
Dmel	Drosophila_melanogaster
Mbre	Monosiga_brevicolis
Pult	Pythium_ultimum
Ttra	Thecamonas_trahens
Tgon	Toxopasma_gondii
Astr	Acarospora_strigata_CBS_132363.v0_2
Aciri1_iso	Acidomyces_richmondensis_BFW.Aciri1_iso
Acral2	Acremonium_alcalophilum
Agahy1	Agaricostilbum_hyphaenes_ATCC_MYA-4628
Agabi_varbisH97_2	Agaricus_bisporus_var_bisporus_H97
Acap	Ajellomyces_capsulatus_NAm1
Amac	Allomyces_macrogynus_ATCC_38327.v3
Amamu1	Amanita_muscaria_Koide
Amath1	Amanita_thiersii_Skay4041
Amnli1	Amniculicola_lignicola_CBS_123094
Amore1	Amorphotheca_resinae_ATCC_22711
Antav1	Anthostoma_avocetta_NRRL_3190
Antlo1	Antonospora_locustae_HM-2013.Antlo1
Apimo1	Apiospora_montagnei_NRRL_25634
Aplpr1	Aplosporella_prunicola_CBS_121.167
Elmca1	Aporpium_caryae_L-13461.Elmca1
Abor	Archaeorhizomyces_borealis_CBS_138755.v1
Afin	Archaeorhizomyces_finlayi_CBS_128710.v2
Armme1_1	Armillaria_mellea_DSM_3731.Armme1_1
Artol1	Arthrobotrys_oligospora_ATCC_24927.Artol1
Aben	Arthroderma_benhamiae_CBS_112371
Artel1	Artolenzites_elegans_CIRM1663
Ascim1	Ascobolus_immersus_RN42
Ascsa1	Ascocoryne_sarcoides_NRRL_50072.Ascsa1
Ascni1	Ascodesmis_nigricans_CBS_389.68
Aapi	Ascosphaera_apis_ARSEF_7405.v1
Agos	Ashbya_gossypii_FDAG1
Afum	Aspergillus_fumigatus_Af293
Aspni7	Aspergillus_niger_ATCC_1015
Atrsp2	Atractiellales_sp_PMI_95
Aulhe2	Aulographum_hederae_CBS_113979
Aurpu_var_pul1	Aureobasidium_pullulans_var_pullulans_EXF-150.Aurpu_var_pul1
Aurde3_1	Auricularia_subglabra_TFB10046_SS-5
Aurvu1	Auriscalpium_vulgare_FP105234-Sp
Bacci1	Backusella_circina_FSU_941
Batde5	Batrachochytrium_dendrobatidis_JAM81
Bauco1	Baudoinia_compniacensis_UAMH_10762
Beaba1	Beauveria_bassiana_ARSEF_2860.Beaba1
Bimnz1	Bimuria_novae-zelandiae_CBS_107.79
Bjead1_1	Bjerkandera_adusta_HHB-12826-SP_SB-22
Arxad1	Blastobotrys_adeninivorans_LS3.Arxad1
Blugr1	Blumeria_graminis_f_sp_hordei_DH14.Blugr1
Boled1	Boletus_edulis_BED1
Botbo1	Botryobasidium_botryosum_FD-172_SS1
Botdo1_1	Botryosphaeria_dothidea_CBS_115476.Botdo1_1
Bcin	Botrytis_cinerea_B05.10
Bysci1	Byssothecium_circinans_CBS_675.92
Cadsp1	Cadophora_sp_DSE1049
Cori	Caliciopsis_orientalis_CBS_138_64.v1
Calco1	Calocera_cornea_HHB12733
Cpul	Calosphaeria_pulchella
Calb	Candida_albicans_SC5314
Ccor	Capronia_coronata_CBS_617.96
Catan1	Catenaria_anguillulae_PL171
Cenge3	Cenococcum_geophilum_1.58
Cepal1_1	Cephaloascus_albidus_ATCC_66658
Cglo	Chaetomium_globosum_CBS_148.51
Cinn	Chaetosphaeria_innumera
Chalo1	Chalara_longipes_BDJ
Chiap1	Chionosphaera_apobasidialis_52639
Chove1	Choiromyces_venosus_120613-1
Clagr3	Cladonia_grayi_Cgr-DA2myc-ss
Clafu1	Cladosporium_fulvum_CBS_131901
Csph	Cladosporium_sphaerospermum_UM_843
Clael1	Clathrospora_elynae_CBS_161.51
Cpur	Claviceps_purpurea_20.1
Clapy1	Clavicorona_pyxidata_HHB10654
Clus	Clavispora_lusitaniae_ATCC_42720
