Pref	Name
ClaPMI390	Clavulina_sp_PMI_390
Cloro1	Clonostachys_rosea_CBS_125111
Cimm	Coccidioides_immitis_RS
Chet	Cochliobolus_heterostrophus_C5
Coere1	Coemansia_reversa_NRRL_1564
Cgra	Colletotrichum_graminicola_M1
Chig	Colletotrichum_higginsianum_IMI_49063.v1
Conco1	Conidiobolus_coronatus_NRRL_28638
Clig	Coniochaeta_ligniaria_CBS_111746
Conpu1	Coniophora_puteana_RWD-64-598_SS2
Ccin	Coprinopsis_cinerea_okayama7_130
Cormi1	Cordyceps_militaris_CM01.Cormi1
Corma2	Corollospora_maritima_CBS_119819
Corgl3	Cortinarius_glaucopus_AT_2004_276
Corca1	Corynespora_cassiicola_CCP
Crypa2	Cryphonectria_parasitica_EP155
Cneo	Cryptococcus_neoformans_var._neoformans_JEC21
Cucbe1	Cucurbitaria_berberidis_CBS_394.84
Cybja1	Cyberlindnera_jadinii_NRRL_Y-1542
Cylto1	Cylindrobasidium_torrendii_FP15055_ss-10
Ceur	Cyphellophora_europaea_CBS_101466
Dacsp1	Dacryopinax_sp_DJM-731_SS1
DalEC12_1	Daldinia_eschscholzii_EC12
Dhan	Debaryomyces_hansenii_CBS_767
Dekbr2	Dekkera_bruxellensis_CBS_2499
Delco1	Delitschia_confertaspora_ATCC_74209
Denbi1	Dendrothele_bispora_CBS_962.96
Dbae	Dibaeis_baeomyces.v0_1
Dicsq1	Dichomitus_squalens_LYAD-421_SS1
Didex1	Didymella_exigua_CBS_183.55
Disac1	Dissoconium_aciculare_CBS_342.82
Dotsy1	Dothidotthia_symphoricarpi_CBS_119687
Dotse1	Dothistroma_septosporum_NZE10
Enccu1	Encephalitozoon_cuniculi_GB-M1.Enccu1
Enche1	Encephalitozoon_hellem_ATCC_50504.Enche1
Encin1	Encephalitozoon_intestinalis_ATCC_50506.Encin1
Encro1	Encephalitozoon_romaleae_SJ-2008.Encro1
Epal	Endocarpon_pallidulum_Enpa.v0_1
Entbi1	Enterocytozoon_bieneusi_H348.Entbi1
Efes	Epichloe_festucae_E894.vM3
Erebi1	Eremomyces_bilateralis_CBS_781.70
Elat	Eutypa_lata_UCREL1.v1
Exigl1	Exidia_glandulosa_HHB12029
Exova1	Exobasidium_vaccinii_MPITM
Eder	Exophiala_dermatitidis_NIH_UT8656
Fpol	Fellomyces_polyborus
Frad	Fibroporia_radiculosa_TFFH_294
Fibsp1	Fibulorhizoctonia_sp_CBS_109695
Fishe1	Fistulina_hepatica_ATCC_64428
Fomme1	Fomitiporia_mediterranea_MF3-22
Fompi3	Fomitopsis_pinicola_FP-58527_SS1
Ffuj	Fusarium_fujikuroi_IMI58289
Fgra	Fusarium_graminearum_PH-1
Galma1	Galerina_marginata_CBS_339.88
Gansp1	Ganoderma_sp_10597_SS1
Gloz	Glarea_lozoyensis_74030
Glotr1_1	Gloeophyllum_trabeum_ATCC_11539
Gloci1	Glomerella_cingulata_23
Glost2	Glonium_stellatum
Ganpr1	Gonapodya_prolifera_JEL478
Gscr	Graphis_scripta_CBS_132367.v0_1
Gcla	Grosmannia_clavigera_kw1407
Gymau1	Gymnascella_aurantiaca
Gymci1_1	Gymnascella_citrina_NRRL_5970.1
Gymlu1	Gymnopus_luxurians
Gyrli1	Gyrodon_lividus_BX
Hebcy2	Hebeloma_cylindrosporum_h7
Hesve1	Hesseltinella_vesiculosa_NRRL_3301
Hetan2	Heterobasidion_annosum_TC_32-1
Hetpy1	Heterogastridium_pycnidioideum_ATCC_MYA-4631
Hmyc	Holtermanniella_mycelialis
Htak	Holtermanniella_takashimae
Hpol	Homoloaphlyctis_polyrhiza_JEL142.v2
Hwer	Hortaea_werneckii_EXF-2000.v2_M0
Hydpi2	Hydnomerulius_pinastri
Hfra	Hymenoscyphus_fraxineus_KW1.v1
Hypsu1	Hypholoma_sublateritium
Hyspu1_1	Hysterium_pulicare_CBS_123377.Hyspu1_1
Ilysp1	Ilyonectria_sp_PMI-82
Jaaar1	Jaapia_argillacea_MUCL_33604
Jamsp1	Jaminaea_sp_MCA_5214
Karrh1	Karstenula_rhodostoma_CBS_690.94
Kafr	Kazachstania_africana_CBS_2517
Klac	Kluyveromyces_lactis_NRRL_Y-1140
Kpas	Komagataella_pastoris_GS115
Kcap	Kuraishia_capsulata_CBS_1993
Lacam1	Laccaria_amethystina_LaAM-08-1
Lacbi2	Laccaria_bicolor_S238N-H82
Lenti6_1	Lentinus_tigrinus_ALCF2SS1-6
Lenfl1	Lentithecium_fluviatile_CBS_122367
Leppa1	Lepidopterella_palustris
Lmac	Leptosphaeria_maculans_JN3
Leumo1	Leucogyrophana_mollusca_KUC20120723A-06
Lcor	Lichtheimia_corymbifera_FSU_9682
Lichy1	Lichtheimia_hyalospora_FSU_10163
Lelo	Lodderomyces_elongisporus_NRRL_YB-4239
Lopma1	Lophiostoma_macrostomum_CBS_122681
Lopmy1	Lophium_mytilinum_CBS_269.34
Lorju1	Loramyces_juncicola_46458
Macfu1	Macrolepiota_fuliginosa
Mory	Magnaporthe_oryzae_70-15
Mglo	Malassezia_globosa
Mbru	Marssonina_brunnea_f._sp._multigermtubi_MB_m1
Mgeu	Meira_geulakonigii
Meimi1	Meira_miltonrushii_CBS_12591
Mellp1	Melampsora_laricis-populina_98AG31
Melsp1	Melanconium_sp_NRRL_54901
Melpu1	Melanomma_pulvis-pyrius_CBS_109.77
Melbi2	Meliniomyces_bicolor_E
Melva1	Meliniomyces_variabilis_F
Mani	Metarhizium_anisopliae_ARSEF_23
Mfru	Metschnikowia_fructicola_277
Mgui	Meyerozyma_guilliermondii_ATCC_6260
Mictr1	Microascus_trigonosporus_CBS_218.31
Mvio	Microbotryum_violaceum_p1A1_Lamole
Mfar	Millerozyma_farinosa_CBS_7064
Mixos1	Mixia_osmundae_IAM_14324
Monha1	Monacrosporium_haptotylum_CBS_200.50.Monha1
Monpu1	Monascus_purpureus_NRRL_1596
Monru1	Monascus_ruber_NRRL_1597
Morco1	Morchella_conica_CCBAS932
Morel1	Mortierella_elongata
Mver	Mortierella_verticillata_NRRL_6337
Mucci2	Mucor_circinelloides_CBS277.49
Mutel1	Mutinus_elegans_ME.BST
Spoth2	Myceliophthora_thermophila_ATCC_42464
Mycfi2	Mycosphaerella_fijiensis_CIRAD86
Mycgr3	Mycosphaerella_graminicola_IPO323
Myrdu1	Myriangium_duriaei_CBS_260.36
Naifl1	Naiadella_fluitans_ATCC_64713
Nbac	Nakaseomyces_bacillisporus_CBS_7720
Ndel	Nakaseomyces_delphensis_CBS_2170
Nhae	Nectria_haematococca_FGSC_9596
Nempa1	Nematocida_parisii_ERTm1.Nempa1
Nirr	Neolecta_irregularis_DAH-1.v1
Neole1	Neolentinus_lepideus_HHB14362_ss-1
Ncra	Neurospora_crassa_OR74A
Nieex1	Niesslia_exilis_CBS_358.70
Nosce1	Nosema_ceranae_BRL01.Nosce1
Opar	Ogataea_parapolymorpha_DL-1
Oidma1	Oidiodendron_maius_Zn
Ompol1	Omphalotus_olearius_VT_653.13.Ompol1
Opic	Ophiostoma_piceae_UAMH_11346
Opil	Ophiostoma_piliferum
Orpsp1_1	Orpinomyces_sp_C1A.Orpsp1_1
Pbra	Paracoccidioides_brasiliensis_Pb18
Patat1	Patellaria_atrata_CBS_101060
Paxin1	Paxillus_involutus_ATCC_200175
Pchr	Penicillium_chrysogenum_Wisconsin_54-1255
Perma1	Periconia_macrospinosa_DSE2036
Phaal1	Phaeoacremonium_aleophilum_UCRPA7.Phaal1
Pnod	Phaeosphaeria_nodorum_SN15
Phchr2	Phanerochaete_chrysosporium.2
Phlbr1	Phlebia_brevispora_HHB-7030_SS6
Phlgi1	Phlebiopsis_gigantea_11061_1_CR5-6
Phybl2	Phycomyces_blakesleeanus_NRRL_1555
Pkud	Pichia_kudriavzevii_SD108.v1
Picst3	Pichia_stipitis_CBS_6054
Pieho1_1	Piedraia_hortae_CBS_480.64.1
Pilcr1	Piloderma_croceum_F_1598
Pirin1	Piriformospora_indica_DSM_11827.Pirin1
PirE2_1	Piromyces_sp_E2
Pisti1	Pisolithus_tinctorius_Marx_270
Plesi1	Pleomassaria_siparia_CBS_279.74
PleosPC15_2	Pleurotus_ostreatus_PC15
Plicr1	Plicaturopsis_crispa_CBS_459.81
Pjir	Pneumocystis_jirovecii_SE8
Podan2	Podospora_anserina_S_mat+.Podan2
Polci1	Polychaeton_citri_CBS_116435
Polfu1	Polyplosphaeria_fusca_CBS_125425
PosplRSB12_1	Postia_placenta_MAD_698-R
Pino	Protomyces_inouyei
Pela	Pseudographis_elatina
Pdes	Pseudogymnoascus_destructans_20631-21
Pant	Pseudozyma_antarctica_T-34
Pgra	Puccinia_graminis_f._sp._tritici_CRL_75-36-700-3
Pucst1	Puccinia_striiformis_f_sp_tritici_PST-130.Pucst1
Pstr	Punctularia_strigosozonata_HHB-11173_SS5
Ptri	Pyrenophora_tritici-repentis
Pyrco1	Pyronema_confluens_CBS_100304.Pyrco1
Ramac1	Ramaria_rubella_UT-36052-T
Rsol	Rhizoctonia_solani_AG-1_IA
Rhiso1	Rhizoctonia_solani_AG-1_IB.Rhiso1
Gloin1	Rhizophagus_irregularis_DAOM_181602
Rhisa1	Rhizopogon_salebrosus_TDB-379
Rhivi1	Rhizopogon_vinicolor_AM-OR11-026
Rdel	Rhizopus_delemar_RA_99-880
Rhich1	Rhizopus_microsporus_var_chinensis_CCTCC_M201021.Rhich1
Rhimi1_1	Rhizopus_microsporus_var_microsporus_ATCC_52813
Rtor	Rhodosporidium_toruloides_NP11
Rhoba1_1	Rhodotorula_graminis_WP1.1
Rhomi1	Rhodotorula_minuta_MCA_4210
Rphy	Rhodotorula_phylloplana
Rhyru1_1	Rhytidhysteron_rufulum_CBS_306.38.Rhyru1_1
Rall	Rozella_allomycis_CSF55
Sacpr1	Saccharata_proteae_CBS_121410
Scer	Saccharomyces_cerevisiae_S288C.vR64-2-1
Saico1	Saitoella_complicata_NRRL_Y-17804
Svas	Saksenaea_vasiformis_B4078
Sarco1	Sarcoscypha_coccinea_ATCC_58028
Schco3	Schizophyllum_commune_H4-8
Schpa1	Schizopora_paradoxa_KUC8140
Soct	Schizosaccharomyces_octosporus_yFS286
Spom	Schizosaccharomyces_pombe_972h-.vASM294v2
Sclci1	Scleroderma_citrinum_Foug_A
Sscl	Sclerotinia_sclerotiorum_1980_UF-70
Sebve1	Sebacina_vermifera_MAFF_305830
SerlaS7_9_2	Serpula_lacrymans_S7.9
Sissu1	Sistotremastrum_suecicum_HHB10207_ss-3
Smac	Sordaria_macrospora_k-hell
Spapa3	Spathaspora_passalidarum_NRRL_Y-27907
Sfla	Spathularia_flavida
Sphst1	Sphaerobolus_stellatus_SS14
Smus	Sphaerulina_musiva_SO2202
Spun	Spizellomyces_punctatus_DAOM_BR117.v1
Spore1	Sporisorium_reilianum_SRZ2.Spore1
Spoli1	Sporobolomyces_linderae_CBS_7893
Sporo1	Sporobolomyces_roseus_CBS_119925
Spofi1	Sporormia_fimetaria
Stano2	Stagonospora_nodorum_SN15
Same	Starmera_amethionina
Stehi1	Stereum_hirsutum_FP-91666_SS1
Suibr1	Suillus_brevipes
Suilu1	Suillus_luteus_UH-Slu-Lm8-n1
Symko1	Symbiotaphrina_kochii_250.77
Tmar	Talaromyces_marneffei_ATCC_18224
Tsti	Talaromyces_stipitatus_ATCC_10500
Tdef	Taphrina_deformans
Terbo2	Terfezia_boudieri_S1.1
Tescy1	Testicularia_cyperi_MCA_3645
Tpha	Tetrapisispora_phaffii_CBS_4417
Tste	Thelebolus_stercoreus
Theau1	Thermoascus_aurantiacus_ATCC26904
Tlan	Thermomyces_lanuginosus_SSBP
Thite2	Thielavia_terrestris_NRRL_8126
ThoPMI491_1	Thozetella_sp_PMI_491
Tilan2	Tilletiaria_anomala_UBC_951
Tinf	Tolypocladium_inflatum_NRRL_8044.v1
Tdel	Torulaspora_delbrueckii_CBS_1146
Totfu1	Tothia_fuscella_CBS_130266
Trave1	Trametes_versicolor_FP-101664_SS1
Trepe1	Trematosphaeria_pertusa_CBS_122368
Treme1	Tremella_mesenterica_Fries
Tribi1	Trichodelitschia_bisporula_CBS_262.69
Triat2	Trichoderma_atroviride_IMI_206040
TriviGv29_8_2	Trichoderma_virens_Gv29-8
Trima3	Tricholoma_matsutake_945
Trub	Trichophyton_rubrum_CBS_118892
Tasa	Trichosporon_asahii_var._asahii_CBS_8904
Triol1	Trichosporon_oleaginosus_IBC0246
Trigu1	Trinosporium_guianense_CBS_132537
Trisp1	Tritirachium_sp_CBS_265.96
Tryvi1	Trypethelium_eluteriae
Tubme1	Tuber_melanosporum.Tubme1
Tulca1	Tulasnella_calospora_AL13-4D
Umbra1	Umbelopsis_ramanniana_NRRL_5844
Uree	Uncinocarpus_reesii_1704
Umay	Ustilago_maydis_521.v190413
Verda1	Verticillium_dahliae_JR2
Volvo1	Volvariella_volvacea_V23.Volvo1
Wich	Wallemia_ichthyophaga_EXF-994
Walse1	Wallemia_sebi_CBS_633.66
Wilmi1	Wilcoxina_mikolae_CBS_423.85
Wolco1	Wolfiporia_cocos_MD-104_SS10
Xanpa2	Xanthoria_parietina_46-1.1
Xylhe1	Xylona_heveae_TC161
Ylip	Yarrowia_lipolytica_CLIB122
Zasce1	Zasmidium_cellare_ATCC_36951
Zoprh1	Zopfia_rhizophila_CBS_207.26
Zrou	Zygosaccharomyces_rouxii_CBS_732
Zymps1	Zymoseptoria_pseudotritici_STIR04_4.3.1.Zymps1
Pipcy2	Piptocephalis_cylindrospora
Rambr1	Ramicandelaber_brevisporus_CBS_109374
Marpt1	Martensiomyces_pterosporus_CBS_209.56
Linpe1	Linderina_pennispora_ATCC_12442
Conth1	Conidiobolus_thromboides_FSU_785
Basme2finSC	Basidiobolus_meristosporus_CBS_931.73
BmerB9252	Basidiobolus_meristosporus_B9252
Colhi1	Colletotrichum_higginsianum_IMI_349063
Colgr1	Colletotrichum_graminicola_M1.001
